name	sex	total	realFreq	cinemaFreq	ratio	
Earl	M	288507	0.0828756094258012	0.0673511055505563	0.551670250120586	True
Jimmy	M	286014	0.0821594781211933	0.260595254423262	0.239703409815172	False
Carlos	M	285969	0.0821465515633484	0.164028934213358	0.333691030624631	False
Francis	M	285183	0.081920767686324	0.0731495451012664	0.528281437070009	True
Rita	F	283037	0.0813043145055423	0.1419502605395	0.364177596311918	False
Cody	M	282756	0.0812235953332219	0.0277656047716697	0.745244439403647	True
Eleanor	F	282686	0.0812034873543521	0.0421501951955468	0.658298039229625	True
Danny	M	282672	0.0811994657585781	0.208966840731362	0.279837679091088	False
Todd	M	281400	0.0808340750568287	0.0767178155940111	0.513063186502598	True
Elijah	M	281374	0.0808266063789627	0.0141615735180805	0.850912255257127	True
Wanda	F	281024	0.0807260664846134	0.0415926529310554	0.659964941345458	True
Ethel	F	278697	0.0800576198156112	0.0285461639419576	0.737153136343022	True
Paula	F	278003	0.0798582635679586	0.117864434713473	0.403890217269295	False
Norma	F	277369	0.0796761427307659	0.0385819247028021	0.673748053387769	True
Clara	F	277227	0.0796353522593441	0.118533485430863	0.401856079833481	False
Dale	M	277074	0.0795914019626714	0.0412581275723606	0.65859918750945	True
Audrey	F	276851	0.0795273436871289	0.0525204813150861	0.602261670616649	True
Caleb	M	276718	0.0794891385272762	0.0309993499057196	0.719433668200477	True
Isaac	M	274356	0.078810637868839	0.0468335502172742	0.627252553972686	True
Ellen	F	272937	0.0784030204114629	0.129795839173589	0.376577569001689	False
Cameron	M	272461	0.0782662861551478	0.0371323148151246	0.678225606697865	True
Marjorie	F	272235	0.0782013661090823	0.0233052666557388	0.770406464868809	True
Mason	M	270859	0.0778061006958691	0.0410351106665641	0.654706391864197	True
Luis	M	270083	0.0775831893872546	0.102699285119308	0.430342381308009	False
Alex	M	269934	0.0775403881179459	0.307986346905027	0.201128433060097	False
Jamie	F	267599	0.0768696433942157	0.044268855800614	0.634559978084131	True
Allen	M	266969	0.076688671584387	0.0355711964745488	0.683135237110076	True
